force,dt,predicted_u_mean,model,status,note,steps,elapsed_s,u_mean,p_mean,re,outer_mean,outer_max,outer_total
0.1,500.0,,seed,ok,,281,2.153568621724844,0.00016360549375810405,0.0007318904624798311,0.00015539249797144722,1.0,1,281
0.2,250.0,0.0003272109875162081,linear-scale,ok,,16,0.11513240821659565,0.0003263090143672298,0.0014547426643120988,0.0003099283018459948,1.0,1,16
0.5,100.0,0.0008091533175149179,"quadratic(a=609.528,b=10384.1)",ok,,21,0.14871989376842976,0.0008122351410036097,0.003582510301161413,0.0007714609369252286,1.0,1,21
1,50.0,0.0016121190309956932,"quadratic(a=610.811,b=5886.93)",ok,,26,0.18170624412596226,0.0016192823501604678,0.006948661722604233,0.0015379943761824123,1.0,1,26
2,25.0,0.003213853222236878,"quadratic(a=612.812,b=2954.04)",ok,,26,0.18424664065241814,0.0032285827561163065,0.013425248107672084,0.003066507901759268,1.0,1,26
5,10.0,0.007981605114747025,"quadratic(a=614.799,b=1458.59)",ok,,26,1.0091256480664015,0.007954027396299954,0.02671493449860127,0.0075547352210056954,7.8076923076923075,20,203
10,5.0,0.015555834043358275,"quadratic(a=613.696,b=1873.86)",ok,,31,1.3811627756804228,0.01576312704434486,0.04083698216057834,0.014971818066718746,9.064516129032258,20,281
20,2.5,0.030839627291760634,"quadratic(a=619.903,b=927.802)",ok,,26,1.4224984366446733,0.03138651922676852,0.0704885149930768,0.029810915961584743,11.23076923076923,20,292
50,1.0,0.07680406758637848,"quadratic(a=627.979,b=299.836)",ok,,21,1.8327102363109589,0.07818022978086786,0.17043606397143554,0.0742555822458683,18.19047619047619,20,382
100,0.5,0.15496209684289755,"quadratic(a=633.79,b=74.3999)",ok,,16,1.3701087478548288,0.15587702336237555,0.34956124862033583,0.1480519967895843,17.8125,20,285
200,0.25,0.30930185672444965,"quadratic(a=636.48,b=32.7763)",ok,,16,1.3467215616255999,0.3101700031364957,0.720452436314192,0.2945994689790436,17.5,20,280
500,0.1,0.7631331705170421,"quadratic(a=637.741,b=22.8694)",ok,,16,1.53226999938488,0.7644750942703606,1.5925397663978453,0.7260984445379886,20.0,20,320
1000,0.05,1.4946227507569212,"quadratic(a=638.328,b=20.565)",ok,,21,2.0096944384276867,1.4945000276242166,0.9588958278098381,1.4194761262374809,20.0,20,420
2000,0.025,2.867602745339574,"quadratic(a=638.287,b=20.6303)",ok,,21,2.0089326072484255,2.8647410070242385,-12.874401594868706,2.720931008471622,20.0,20,420
5000,0.01,6.4605546804412395,"quadratic(a=637.743,b=21.0794)",ok,,21,2.0097282733768225,6.443644724664681,-141.77858464113655,6.120173759486514,20.0,20,420
10000,0.005,11.338701107159133,"quadratic(a=636.409,b=21.6538)",ok,,21,2.0089481994509697,11.328144598932141,-519.4240349698186,10.759471740065747,20.0,20,420
20000,0.0025,19.03274073021521,"quadratic(a=635.571,b=21.8177)",ok,,21,2.008804313838482,19.044146665712045,-1513.1786046910754,18.0881305030933,20.0,20,420
50000,0.001,35.5091495584257,"quadratic(a=636.305,b=21.7348)",ok,,26,2.485400164499879,35.59376860490124,-5038.956376028961,33.8069614209352,20.0,20,520
100000,0.0005,54.93157938674,"quadratic(a=639.912,b=21.491)",ok,,26,2.4873123839497566,55.047861399707976,-11435.839735119935,52.284458757442636,20.0,20,520
150000,0.0003333333333333333,70.14593103489807,"quadratic(a=645.295,b=21.2857)",ok,,26,2.487410295754671,70.23303261156487,-18069.624326049034,66.70733437446431,20.0,20,520
200000,0.00025,83.05505721579931,"quadratic(a=649.654,b=21.1713)",ok,,16,1.5323588475584984,83.14893671871411,-24827.51426940663,78.97486009543466,20.0,20,320
225000,0.00022222222222222223,88.96228930762133,"quadratic(a=654.348,b=21.0742)",ok,,16,1.5326623003929853,89.00256836808904,-28228.083806877985,84.53463943601098,20.0,20,320
250000,0.0002,94.5178294571095,"quadratic(a=656.001,b=21.0437)",ok,,16,1.5324751771986485,94.55747167443766,-31653.42856625574,89.81068659638089,20.0,20,320
300000,0.00016666666666666666,104.8489220087797,"quadratic(a=657.539,b=21.0181)",ok,,16,1.685947960242629,104.92238055777096,-38536.9469204143,99.65527705377086,20.0,20,320
