force,dt,status,note,steps,elapsed_s,u_mean,p_mean,re,outer_mean,outer_max,outer_total
0.1,500.0,ok,,281,1.9747035782784224,0.00016360549375810405,0.0007318904624798311,0.00015539249797144722,1.0,1,281
0.2,250.0,ok,,211,1.4791189953684807,0.00032608683993335264,0.0013140585654686516,0.0003097172805686983,1.0,1,211
0.5,100.0,ok,,216,1.5441055204719305,0.0008152483756626685,0.0032847269096220933,0.0007743229072044025,1.0509259259259258,12,227
1,50.0,ok,,181,1.3698392249643803,0.0016300872370632695,0.006392918227841195,0.0015482568577626934,1.138121546961326,20,206
2,25.0,ok,,81,1.149190155789256,0.0032587364028966058,0.012746329029105155,0.003095147835471196,2.5555555555555554,20,207
5,10.0,ok,,41,2.2932541519403458,0.007956753266927519,0.027273709338108652,0.007557324252927757,11.487804878048781,20,471
10,5.0,ok,,46,3.1370680201798677,0.01576875288606684,0.04323205397397491,0.014977161491186284,14.108695652173912,20,649
20,2.5,ok,,56,4.215258637443185,0.031391897371706334,0.07764464831496197,0.029816024123646676,15.625,20,875
50,1.0,ok,,61,5.819623017683625,0.07818680201799352,0.19125952362635712,0.07426182455669024,19.950819672131146,20,1217
100,0.5,ok,,56,5.356423858553171,0.1559562016055231,0.40981603323155535,0.14812720028492582,20.0,20,1120
200,0.25,ok,,51,4.879184614866972,0.31037949309368174,0.8786122389915785,0.2947984425403789,20.0,20,1020
500,0.1,ok,,46,4.400237396359444,0.7648412749359458,2.1315016421261648,0.7264462429341613,20.0,20,920
1000,0.05,ok,,41,3.9220967907458544,1.4948590941956166,1.973143305759339,1.4198171676669966,20.0,20,820
2000,0.025,ok,,36,3.4464194513857365,2.8650982816213793,-10.70917669596434,2.721270347883986,20.0,20,720
5000,0.01,ok,,31,2.9694099370390177,6.444021874835533,-135.8934832126848,6.120531976718789,20.0,20,620
10000,0.005,ok,,26,2.4903482664376497,11.328565222656152,-507.5125178961745,10.759871248478813,20.0,20,520
20000,0.0025,ok,,26,2.4927200954407454,19.04446675138089,-1490.144096045681,18.088434520461572,20.0,20,520
50000,0.001,ok,,31,2.972029412165284,35.59366932041367,-4985.470320702101,33.8068671205289,20.0,20,620
100000,0.0005,ok,,36,3.444769721478224,55.04679009860085,-11335.14269058986,52.28344123565109,20.0,20,720
150000,0.0003333333333333333,ok,,36,3.447474256157875,70.23098848301328,-17917.05692879184,66.705392861166,20.0,20,720
200000,0.00025,ok,,36,3.4453368093818426,83.13073455387779,-24613.719166085208,78.95757167927312,20.0,20,720
225000,0.00022222222222222223,ok,,31,2.970438303425908,88.99139593921842,-28005.095943721022,84.52402786306965,20.0,20,620
250000,0.0002,ok,,31,2.9686422254890203,94.54542395065742,-31402.607193876713,89.79924366833441,20.0,20,620
300000,0.00016666666666666666,ok,,36,3.4447485152632,104.89956205695158,-38213.19224778022,99.6336040416926,20.0,20,720
